"Carimbo de data/hora","Em qual instituição você está fazendo pós graduação?","Se você estuda na UFPR, em qual setor você está inserido?  ","Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?","Em qual grande área do conhecimento sua pesquisa está inserida hoje?","Em qual ano você concluiu sua graduação?","Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição)","De quais programas de graduação você participou?","Se você já concluiu o mestrado, qual o ano de início do mestrado?","Qual o ano de conclusão do seu mestrado?","Em qual instituição você fez seu mestrado?","Quantos artigos (com qualis) você já publicou?","Você é bolsista remunerado de algum programa? Qual?","Quantas disciplinas de Estatística você cursou na graduação?","Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ","Já utilizou algum software com funcionalidades estatísticas?","Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?","Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?","Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ","Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?","Como tomou conhecimento da Disciplina Transversal?","Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ","Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina (Paulo Justiniano e/ou Walmes Zeviani)?","Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?","Você cursou o ensino médio em escola pública ou particular?","Você cursou ensino médio tradicional ou profissionalizante?","Qual o seu sexo?","Qual a sua altura?","Qual o seu peso?","Qual a data do seu nascimento?","Qual das seguintes categorias descreve melhor sua situação de emprego?","Com quem você mora?","Quantos irmãos você tem?","Qual a sua origem?","Possui habilitação para dirigir? Qual categoria?","Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?","Em média, quanto tempo você demorava ou demoraria para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?","Possui animal de estimação?","Toca algum instrumento musical?","De quais redes sociais você participa?","Você pratica atividade física regularmente?","Quantas vezes por semana você se exercita?","Qual atividade você pratica?","Você teve ao menos um teste positivo para covid-19?","Você conhece alguém que já foi infectado pela covid-19?","Você faz parte do grupo de risco?","Dentre as pessoas que você convive, há ao menos uma pertencente ao grupo de risco?","Você foi vacinado contra a covid-19?","Quais das medidas a seguir você considera eficazes na prevenção à covid-19?","E quais das medidas você efetivamente segue para fins de prevenção?","Como a pandemia afetou sua renda?","Como a pandemia afetou seus estudos?","Como a pandemia afetou seu aprendizado?","Você aprova o formato remoto de ensino?","Você sente mais dificuldades no formato remoto quando comparado ao presencial?","Você acha que a pandemia vai afetar o tempo de conclusão da sua pós graduação?","Quantos anos você acha que a pessoa da foto abaixo tem?","Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
"11/03/2021 14:19:407","UNICENTRO",,"Doutorado","Ciências Biológicas",2013,"UFSM","Iniciação científica",2013,2016,"UNICENTRO",3,"Não",2,2,"Sim","R, SAS, Excel ou similares, SISVAR","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",160,63,"22/11/1987","Trabalho ocasional","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","A e B (moto e carro)","Carro/moto próprio",10,0,"Coelho","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",36,"Caminhada","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Afetou muito","Estudei menos que o normal","Afetou moderadamente","Não","Sim","Sim",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",42
"11/03/2021 14:19:408","UFPR","AG - Agrárias","Professor","Ciências Biológicas",2007,"UFV","Iniciação científica",2007,2009,"UFV",52,"CNPQ",2,3,"Sim","R, SAS, Minitab, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelos professores que ministram/ministraram disciplinas da Transversal","Não","Sim","Sim","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",180,83,"11/08/1983","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",20,5,"Não possuo","Não toco nenhum instrumento","Facebook, Twitter, Instagram","Não",29,"Corrida","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Afetou moderadamente","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",50,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"11/03/2021 14:19:409","UNICENTRO",,"Doutorado","Ciências Biológicas",2015,"UTFPR","Iniciação científica, Monitoria",2016,2018,"UNESP",8,"Não",1,7,"Sim","R, SAS, Minitab, Excel ou similares","Certamente sim",10,"Conseguir um emprego.","Pelos professores que ministram/ministraram disciplinas da Transversal","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",165,55,"10/12/1992","Trabalho por contrato","Sozinho",2,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",10,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",5,"Caminhada, Basquete","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Não afetou","Não afetou","Afetou pouco","Sim","Sim","Sim",50,"A da esquerda se chama Bouba, a da direita se chama Kiki.",51
"11/03/2021 14:19:410","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2019,"UFPR","Iniciação científica, Monitoria",,,,1,"Não",2,0,"Sim","R, SAS, Minitab, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",159,63,"01/11/1995","Estudante","Com os pais",1,"Curitiba","B (carro)","Carro/moto próprio",10,0,"Cachorro","Outro","Linkedin, Outras","Não",6,"Basquete","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Afetou pouco","Não afetou","Afetou moderadamente","Sim","Sim","Sim",56,"A da esquerda se chama Bouba, a da direita se chama Kiki.",37
"11/03/2021 14:19:411","UEPG",,"Mestrado Acadêmico","Ciências Exatas",2021,"UTFPR","Não participei",,2021,,1,"CAPES",0,0,"Sim","R, SAS, Minitab, Excel ou similares","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Feminino",153,77,"10/01/1975","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",4,"Outro Estado","B (carro)","Transporte público",30,10,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",36,"Futebol","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Extinguiu minha renda","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",50,"A da esquerda se chama Bouba, a da direita se chama Kiki.",45
"11/03/2021 14:19:412","UEPG","AG - Agrárias","Doutorado","Ciências Exatas",2016,"UFV","Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2016,2018,"UFV",17,"CAPES",2,2,"Sim","R, SAS, Minitab, Statistica, Excel ou similares","Certamente sim",10,"Conseguir um emprego.","Programa de pós graduação","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",188,110,"25/12/1992","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",4,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",5,0,"Não possuo","Não toco nenhum instrumento","Facebook, Google+, Instagram","Não",45,"Corrida","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Afetou moderadamente","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",35,"A da esquerda se chama Kiki, a da direita se chama Bouba.",46
"11/03/2021 14:19:413","UEPG",,"Doutorado","Ciências Exatas",2015,"UFV","Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2016,2018,"UFV",13,"CAPES",2,2,"Sim","R, SAS, Minitab, Statistica, Excel ou similares, Matlab","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Programa de pós-graduação em Agronomia UEPG","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",188,110,"25/12/1992","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",3,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",5,0,"Não possuo","Não toco nenhum instrumento","Facebook, Twitter, Google+, Instagram","Não",15,"Futebol","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Extinguiu minha renda","Não afetou","Afetou muito","Sim","Não sei dizer","Não sei dizer",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:414","UFPR","SA - Sociais Aplicadas","Mestrado Acadêmico","Ciências Humanas",2017,"Uninter","Iniciação científica",,,,1,"Não",0,6,"Sim","R, SAS, Minitab, Statistica, SPSS, Excel ou similares, Matlab, Tableau, qlik, microstrategy, power bi","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Masculino",181,95,"04/04/1992","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Interior do Paraná","Não","Patinete elétrico",20,10,"Não possuo","Violão, Teclado, Flauta","Facebook, Twitter, Instagram, Linkedin","Não",40,"Musculação, Vôlei","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",45,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:415","UFPR","AG - Agrárias","Doutorado","Ciências Biológicas",2015,"UFRPE","Iniciação científica, PET, Monitoria",2015,2018,"UFRPE",1,"Não",2,9,"Sim","R, SAS, SISVAR","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Email da Secretaria do Programa de Pós-graduação em Zootecnia","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",160,63,"13/03/1992","Desempregada","Pensão, quarto alugado ou algo similar",4,"Outro Estado","A e B (moto e carro)","Transporte público",20,0,"Não possuo","Outro","Facebook, Instagram, Linkedin","Não",27,"Corrida","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Extinguiu minha renda","Estudei menos que o normal","Afetou muito","Não","Sim","Sim",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:416","UFPR","AG - Agrárias","Doutorado","Ciências Exatas",2009,"CESCAGE ","Não participei",2014,2016,"IAPAR",4,"Não",1,1,"Sim","R, SAS, Statistica","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",179,107,"13/01/1986","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Interior do Paraná","Superior à B","Carro/moto próprio",120,0,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",33,"Corrida","Não","Não","Não","Não","Não","Vacinação","Vacinação","Não afetou","Não afetou","Afetou muito","Sim","Sim","Sim",44,"A da esquerda se chama Bouba, a da direita se chama Kiki.",38
"11/03/2021 14:19:417","Não sou aluno de pós graduação","AG - Agrárias","Doutorado","Ciências Biológicas",2024,"UFPR","Monitoria, Centro Acadêmico ",2018,2020,"UFPR",1,"Não",2,2,"Sim","R, SAS, Statistica, Excel ou similares, Matlab","Certamente sim",10,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",171,60,"10/03/1993","Sem trabalho e sem bolsa","Pensão, quarto alugado ou algo similar",2,"Outro Estado","B (carro)","A pé",15,15,"Não possuo","Violão, Guitarra","Facebook, Twitter, Instagram, Linkedin","Não",63,"Vôlei","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Afetou pouco","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",38,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"11/03/2021 14:19:418","UFPR","BL - Ciências Biológiccas","Doutorado","Ciências Biológicas",2005,"UEL","Monitoria, Projeto de extensão",2007,2009,"UFPR",5,"Não",1,10,"Sim","R, SAS, Statistica, SPSS, Excel ou similares","Certamente sim",9,"Aumento salarial e oportunidades mais promissoras.","Por colegas","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Masculino",182,80,"10/06/1984","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Outro Estado","B (carro)","Carro/moto próprio",25,5,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",21,"Vôlei","Não","Não","Não","Não","Não","Vacinação","Vacinação","Extinguiu minha renda","Não afetou","Afetou pouco","Sim","Não sei dizer","Não sei dizer",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",38
"11/03/2021 14:19:419","UNICENTRO",,"Doutorado","Ciências Exatas",2015,"UFSM-FW","Iniciação científica, Monitoria",2016,2018,"UDESC-CAV",6,"CAPES",2,12,"Sim","R, SAS, Statistica, SPSS, Excel ou similares, Matlab","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Sim","Totalmente em escola pública","Ensino médio tradicional","Masculino",170,62,"17/08/1992","Bolsista em tempo integral","Com amigos",2,"Outro Estado","B (carro)","Transporte público",30,0,"Gato","Não toco nenhum instrumento","Twitter, Instagram","Não",52,"Corrida","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Extinguiu minha renda","Não afetou","Afetou moderadamente","Sim","Sim","Sim",42,"A da esquerda se chama Bouba, a da direita se chama Kiki.",45
"11/03/2021 14:19:420","UNICENTRO",,"Doutorado","Ciências Exatas",2016,"UFSM","Iniciação científica, Monitoria, Projeto de extensão",2016,2018,"UDESC",5,"CAPES",1,6,"Sim","R, SAS, Statistica, SPSS, Excel ou similares, Matlab","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",170,61,"17/08/1992","Bolsista em tempo integral","Com amigos",2,"Outro Estado","B (carro)","Transporte público",30,0,"Não possuo","Não toco nenhum instrumento","Facebook, Twitter, Instagram","Não",11,"Caminhada","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou muito","Estudei menos que o normal","Não afetou","Não","Sim","Sim",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",35
"11/03/2021 14:19:421","UFPR","TC - Tecnologia","Doutorado","Ciências Exatas",2002,"FIAP","Não participei",2017,2019,"UNINOVE",0,"Não",1,1,"Sim","R, SPSS","Não sei ainda",9,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",164,90,"03/08/1978","Trabalho por contrato","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","B (carro)","Carro/moto próprio",15,0,"Não possuo","Não toco nenhum instrumento","Facebook, Linkedin","Não",13,"Vôlei","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",50,"A da esquerda se chama Bouba, a da direita se chama Kiki.",46
"11/03/2021 14:19:422","UFPR","AG - Agrárias","Doutorado","Ciências Exatas",2015,"UFPR","Iniciação científica, Empresa Júnior",2016,2017,"UFPR",2,"CAPES",4,11,"Sim","R, SPSS, Excel ou similares","Certamente sim",10,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio profissionalizante (técnico)","Feminino",165,57,"10/04/1979","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",3,"Curitiba","B (carro)","Transporte público",40,1,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",47,"Natação","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Não afetou","Estudei mais que o normal","Afetou pouco","Não sei dizer","Não","Não",45,"A da esquerda se chama Bouba, a da direita se chama Kiki.",45
"11/03/2021 14:19:423","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",2011,"Unibrasil","Iniciação científica, Monitoria",2014,2016,"Bioquimica",2,"CAPES",1,2,"Sim","R, SPSS, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Feminino",153,79,"10/11/1986","Bolsista em tempo integral","Com os pais",2,"Curitiba","Não","Carona com amigos",20,7,"Cachorro","Não toco nenhum instrumento","Facebook","Não",21,"Caminhada","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Não afetou","Estudei menos que o normal","Afetou moderadamente","Não","Sim","Sim",46,"A da esquerda se chama Kiki, a da direita se chama Bouba.",33
"11/03/2021 14:19:424","UEPG",,"Doutorado","Ciências Biológicas",2012,"Faculdade Mineirense - Goiás","Iniciação científica, Monitoria, Projeto de extensão",2017,2019,"UFPR",0,"Não",1,2,"Sim","R, SPSS, Excel ou similares","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",175,86,"26/07/1991","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Outro Estado","A e B (moto e carro)","Transporte público",20,10,"Cachorro","Não toco nenhum instrumento","Google+, Linkedin","Não",29,"Nenhuma","Não","Não","Não","Não","Não","Vacinação","Vacinação","Afetou muito","Não afetou","Afetou pouco","Sim","Sim","Sim",45,"A da esquerda se chama Bouba, a da direita se chama Kiki.",45
"11/03/2021 14:19:425","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",2016,"UFPR","Iniciação científica, PET, Projeto de extensão",2016,2018,"UFPR",4,"Não",1,10,"Sim","R, SPSS, Excel ou similares","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Email institucional da SuCom (Superintendência de Comunicação e Marketing)","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Feminino",167,72,"30/11/1991","Trabalho com carteira assinada/Vínculo Formal","Com os pais",2,"Outro Estado","A (moto)","Carro/moto próprio",30,4,"Cachorro","Não toco nenhum instrumento","Facebook, Google+, Instagram, Linkedin","Não",24,"Vôlei","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Afetou pouco","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",42,"A da esquerda se chama Bouba, a da direita se chama Kiki.",51
"11/03/2021 14:19:426","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",2009,"UFPR","Iniciação científica, Projeto de extensão",2016,2018,"UFPR",1,"Não",1,24,"Sim","R, SPSS, Excel ou similares","Certamente sim",9,"Aumento salarial e oportunidades mais promissoras.","Programa de pós","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",170,74,"05/06/1987","Profissional liberal","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","B (carro)","Carro/moto próprio",5,4,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",6,"Futebol","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Não afetou","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",52,"A da esquerda se chama Bouba, a da direita se chama Kiki.",33
"11/03/2021 14:19:427","UFPR","SL - Litoral","Mestrado Acadêmico","Ciências Exatas",2018,"UNINTER","Projeto de extensão",,,,0,"Não",1,0,"Sim","R, SPSS, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",180,76,"21/02/1983","Servidor Público","Sozinho",1,"Curitiba","A e B (moto e carro)","Bicicleta",30,0,"Gato","Violão, Outro","Facebook, Instagram, Linkedin","Não",50,"Nenhuma","Não","Não","Não","Não","Não","Isolamento social","Isolamento social","Afetou moderadamente","Estudei menos que o normal","Afetou moderadamente","Não","Sim","Sim",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:428","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2015,"UniBrasil","Não participei",,,,1,"CAPES",1,6,"Sim","R, SPSS, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelos professores que ministram/ministraram disciplinas da Transversal","Não","Sim","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",176,75,"11/03/1991","Bolsista em tempo integral","Sozinho",2,"Curitiba","A e B (moto e carro)","Bicicleta",20,0,"Não possuo","Não toco nenhum instrumento","Instagram, Linkedin","Não",34,"Nenhuma","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Extinguiu minha renda","Não afetou","Não afetou","Sim","Não sei dizer","Não sei dizer",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",58
"11/03/2021 14:19:429","UFPR","SA - Sociais Aplicadas","Mestrado Acadêmico","Ciências Humanas",2017,"UP","Não participei",,,,0,"Não",2,0,"Sim","R, SPSS, Excel ou similares","Certamente sim",8,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",163,63,"26/06/1993","Trabalho com carteira assinada/Vínculo Formal","Com outros familiares",0,"Curitiba","A e B (moto e carro)","Carro/moto próprio",50,0,"Não possuo","Não toco nenhum instrumento","Instagram, Linkedin","Não",56,"Basquete","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Não afetou","Não afetou","Afetou muito","Sim","Não sei dizer","Não sei dizer",42,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
"11/03/2021 14:19:430","UFPR","CT - Ciências da Terra","Mestrado Acadêmico","Ciências Exatas",2019,"ufpr","Iniciação científica, Empresa Júnior",,2022,"UFPR",0,"CAPES",1,0,"Sim","R, SPSS, Excel ou similares, Matlab","Certamente sim",7,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Email institucional da SuCom (Superintendência de Comunicação e Marketing)","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Feminino",163,65,"17/11/1996","Bolsista em tempo integral","Com amigos",1,"Outro Estado","Não","Bicicleta",20,6,"Cachorro, Gato","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",41,"Caminhada","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Afetou pouco","Estudei menos que o normal","Não afetou","Não","Sim","Sim",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",48
"11/03/2021 14:19:431","UFPR","CH - Humanas","Professor","Ciências Humanas",2011,"UFPEL","Iniciação científica",2012,2013,"UNIVALI",15,"Não",1,2,"Sim","R, SPSS, Excel ou similares, MPlus e AMOS","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",168,74,"27/10/1987","Trabalho com carteira assinada/Vínculo Formal","Sozinho",2,"Outro Estado","B (carro)","Carro/moto próprio",10,5,"Gato","Não toco nenhum instrumento","Facebook, Twitter, Google+, Instagram","Não",50,"Musculação","Não","Não","Não","Não","Não","Uso de álcool em gel","Uso de álcool em gel","Não afetou","Não afetou","Afetou pouco","Sim","Não sei dizer","Não sei dizer",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",42
"11/03/2021 14:19:432","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",2005,"UEL","Iniciação científica",2010,2012,"UFPR",1,"Não",0,2,"Sim","R, SPSS, STATA","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Sim","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",176,85,"02/09/1980","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Outro Estado","B (carro)","Carro/moto próprio",20,5,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter","Sim",54,"Futebol","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Lavagem frequente das mãos","Não afetou","Estudei menos que o normal","Afetou moderadamente","Não","Sim","Sim",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",48
